,team1,team2,Temp,Wind_speed,team1_home_A,Game_id,astroturf,fieldturf,grass,matrixturf,sportturf
0,HOU,KC,56,7,0,CHKOU1,1,0,0,0,0
1,SEA,ATL,72,0,0,AAELST1,0,1,0,0,0
2,NYJ,BUF,67,15,0,BFJNUY1,1,0,0,0,0
3,OAK,CAR,81,5,0,AACKOR1,0,0,1,0,0
4,CIN,LAC,83,6,1,ACCILN1,0,0,1,0,0
5,CHI,DET,72,0,0,CDEHIT1,0,1,0,0,0
6,IND,JAX,80,3,0,ADIJNX1,0,0,1,0,0
7,MIN,GB,72,0,1,BGIMN1,0,0,0,0,1
8,NO,TB,72,0,1,BNOT1,1,0,0,0,0
9,NE,MIA,70,8,1,AEIMN1,0,0,1,0,0
10,DAL,LAR,72,0,0,AADLLR1,0,0,0,1,0
11,CLE,BAL,76,5,0,ABCELL1,0,0,1,0,0
12,SF,ARI,72,0,1,AFIRS1,0,0,1,0,0
13,WSH,PHI,76,5,1,HHIPSW1,0,0,1,0,0
14,TEN,DEN,79,10,0,DEENNT1,0,0,1,0,0
15,NYG,PIT,71,5,1,GINPTY1,0,1,0,0,0
16,CLE,CIN,65,8,1,CCEILN1,0,0,1,0,0
17,NYG,CHI,66,12,0,CGHINY1,0,0,1,0,0
18,IND,MIN,72,0,1,DIIMNN1,0,1,0,0,0
19,WSH,ARI,72,0,0,AHIRSW1,0,0,1,0,0
20,ATL,DAL,72,0,0,AADLLT1,0,1,0,0,0
21,DET,GB,66,12,0,BDEGT1,0,0,1,0,0
22,HOU,BAL,72,0,1,ABHLOU1,0,0,1,0,0
23,BUF,MIA,90,5,0,ABFIMU1,0,0,1,0,0
24,SF,NYJ,61,7,0,FJNSY1,0,1,0,0,0
25,JAX,TEN,72,5,0,AEJNTX1,0,0,1,0,0
26,PHI,LAR,62,12,1,AHILPR1,0,0,1,0,0
27,DEN,PIT,64,5,0,DEINPT1,0,0,1,0,0
28,KC,LAC,72,0,0,ACCKL1,0,0,0,1,0
29,NE,SEA,70,5,0,AEENS1,0,1,0,0,0
