,team1,team2,Temp,Wind_speed,team1_home_A,astroturf,fieldturf,grass,matrixturf,sportturf,Game_id
0,DAL,TB,82,9,0,0,0,1,0,0,ABDLT1
1,PHI,ATL,72,0,0,0,1,0,0,0,AHILPT1
2,PIT,BUF,73,17,0,1,0,0,0,0,BFIPTU1
3,CAR,NYJ,81,0,1,0,0,1,0,0,ACJNRY1
4,MIN,CIN,81,15,0,0,1,0,0,0,CIIMNN1
5,SEA,IND,72,0,0,0,1,0,0,0,ADEINS1
6,SF,DET,72,0,0,0,1,0,0,0,DEFST1
7,JAX,HOU,72,0,0,1,0,0,0,0,AHJOUX1
8,CLE,KC,88,8,0,0,0,1,0,0,CCEKL1
9,GB,NO,86,9,0,0,0,1,0,0,BGNO1
10,MIA,NE,81,15,0,0,1,0,0,0,AEIMN1
11,NYG,DEN,82,19,1,0,1,0,0,0,DEGNNY1
12,ARI,TEN,82,8,0,0,0,1,0,0,AEINRT1
13,CHI,LAR,72,0,0,0,0,0,1,0,ACHILR1
14,LAC,WSH,81,4,0,0,0,1,0,0,ACHLSW1
15,BAL,OAK,72,0,0,0,0,1,0,0,AABKLO1
16,NYG,WSH,71,0,0,0,0,1,0,0,GHNSWY1
17,NO,CAR,83,4,0,0,0,1,0,0,ACNOR1
18,CIN,CHI,80,0,0,0,0,1,0,0,CCHIIN1
19,HOU,CLE,75,12,0,0,0,1,0,0,CEHLOU1
20,LAR,IND,72,0,0,0,1,0,0,0,ADILNR1
21,MIN,ARI,72,0,0,0,0,1,0,0,AIIMNR1
22,JAX,DEN,80,7,1,0,0,1,0,0,ADEJNX1
23,BUF,MIA,89,7,0,0,0,1,0,0,ABFIMU1
24,NYJ,NE,72,13,1,0,1,0,0,0,EJNNY1
25,PHI,SF,76,13,1,0,0,1,0,0,FHIPS1
26,PIT,OAK,77,4,1,0,0,1,0,0,AIKOPT1
27,KC,BAL,82,8,0,0,0,1,0,0,ABCKL1
28,DAL,LAC,72,0,0,0,0,0,1,0,AACDLL1
29,SEA,TEN,62,14,1,0,1,0,0,0,AEENST1
30,ATL,TB,85,0,0,0,0,1,0,0,ABLTT1
31,DET,GB,73,12,0,0,0,1,0,0,BDEGT1
32,CAR,HOU,72,0,0,1,0,0,0,0,ACHORU1
33,WSH,BUF,67,21,0,1,0,0,0,0,BFHSUW1
34,CLE,CHI,70,22,1,0,0,1,0,0,CCEHIL1
35,NYJ,DEN,82,6,0,0,0,1,0,0,DEJNNY1
36,BAL,DET,72,0,0,0,1,0,0,0,ABDELT1
37,JAX,ARI,81,4,1,0,0,1,0,0,AAIJRX1
38,KC,LAC,81,19,1,0,0,1,0,0,ACCKL1
39,SEA,MIN,72,0,0,0,0,0,0,1,AEIMNS1
40,NO,NE,73,11,0,0,1,0,0,0,ENNO1
41,ATL,NYG,69,13,0,0,1,0,0,0,AGLNTY1
42,IND,TEN,72,4,0,0,0,1,0,0,DEINNT1
43,CIN,PIT,67,9,0,0,0,1,0,0,CIINPT1
